"","Country Code","Short Name","pscore_mean","P_mort_2020","P_mort_2021"
"4093","THA","Thailand",1.5,-3.01849935692251,5.80168261560005
"4094","THA","Thailand",1.5,-3.01849935692251,5.80168261560005
"4095","THA","Thailand",1.5,-3.01849935692251,5.80168261560005
"4096","THA","Thailand",1.5,-3.01849935692251,5.80168261560005
"4097","THA","Thailand",1.5,-3.01849935692251,5.80168261560005
"4098","THA","Thailand",1.5,-3.01849935692251,5.80168261560005
"4099","THA","Thailand",1.5,-3.01849935692251,5.80168261560005
"4100","THA","Thailand",1.5,-3.01849935692251,5.80168261560005
"4101","THA","Thailand",1.5,-3.01849935692251,5.80168261560005
"4102","THA","Thailand",1.5,-3.01849935692251,5.80168261560005
"4103","THA","Thailand",1.5,-3.01849935692251,5.80168261560005
"4104","THA","Thailand",1.5,-3.01849935692251,5.80168261560005
"4105","THA","Thailand",1.5,-3.01849935692251,5.80168261560005
"4106","THA","Thailand",1.5,-3.01849935692251,5.80168261560005
"4107","THA","Thailand",1.5,-3.01849935692251,5.80168261560005
"4108","THA","Thailand",1.5,-3.01849935692251,5.80168261560005
"4109","THA","Thailand",1.5,-3.01849935692251,5.80168261560005
"4110","THA","Thailand",1.5,-3.01849935692251,5.80168261560005
"4111","THA","Thailand",1.5,-3.01849935692251,5.80168261560005
"4112","THA","Thailand",1.5,-3.01849935692251,5.80168261560005
"4113","THA","Thailand",1.5,-3.01849935692251,5.80168261560005
"4114","THA","Thailand",1.5,-3.01849935692251,5.80168261560005
"4115","THA","Thailand",1.5,-3.01849935692251,5.80168261560005
"4116","THA","Thailand",1.5,-3.01849935692251,5.80168261560005
"4117","TJK","Tajikistan",13.1,27.122476339116,-1.10317060895823
"4118","TJK","Tajikistan",13.1,27.122476339116,-1.10317060895823
"4119","TJK","Tajikistan",13.1,27.122476339116,-1.10317060895823
"4120","TJK","Tajikistan",13.1,27.122476339116,-1.10317060895823
"4121","TJK","Tajikistan",13.1,27.122476339116,-1.10317060895823
"4122","TJK","Tajikistan",13.1,27.122476339116,-1.10317060895823
"4123","TJK","Tajikistan",13.1,27.122476339116,-1.10317060895823
"4124","TJK","Tajikistan",13.1,27.122476339116,-1.10317060895823
"4125","TJK","Tajikistan",13.1,27.122476339116,-1.10317060895823
"4126","TJK","Tajikistan",13.1,27.122476339116,-1.10317060895823
"4127","TJK","Tajikistan",13.1,27.122476339116,-1.10317060895823
"4128","TJK","Tajikistan",13.1,27.122476339116,-1.10317060895823
"4129","TJK","Tajikistan",13.1,27.122476339116,-1.10317060895823
"4130","TJK","Tajikistan",13.1,27.122476339116,-1.10317060895823
"4131","TJK","Tajikistan",13.1,27.122476339116,-1.10317060895823
"4132","TJK","Tajikistan",13.1,27.122476339116,-1.10317060895823
"4133","TJK","Tajikistan",13.1,27.122476339116,-1.10317060895823
"4134","TJK","Tajikistan",13.1,27.122476339116,-1.10317060895823
"4135","TJK","Tajikistan",13.1,27.122476339116,-1.10317060895823
"4136","TJK","Tajikistan",13.1,27.122476339116,-1.10317060895823
"4137","TJK","Tajikistan",13.1,27.122476339116,-1.10317060895823
"4138","TJK","Tajikistan",13.1,27.122476339116,-1.10317060895823
"4139","TJK","Tajikistan",13.1,27.122476339116,-1.10317060895823
"4140","TJK","Tajikistan",13.1,27.122476339116,-1.10317060895823
"4141","TJK","Tajikistan",13.1,27.122476339116,-1.10317060895823
"4142","TJK","Tajikistan",13.1,27.122476339116,-1.10317060895823
"4143","TJK","Tajikistan",13.1,27.122476339116,-1.10317060895823
"4144","TJK","Tajikistan",13.1,27.122476339116,-1.10317060895823
"4145","TLS","Timor-Leste",4.4,0.571131879543095,8.15182779263788
"4146","TLS","Timor-Leste",4.4,0.571131879543095,8.15182779263788
"4147","TLS","Timor-Leste",4.4,0.571131879543095,8.15182779263788
"4148","TLS","Timor-Leste",4.4,0.571131879543095,8.15182779263788
"4149","TLS","Timor-Leste",4.4,0.571131879543095,8.15182779263788
"4150","TLS","Timor-Leste",4.4,0.571131879543095,8.15182779263788
"4151","TLS","Timor-Leste",4.4,0.571131879543095,8.15182779263788
"4152","TLS","Timor-Leste",4.4,0.571131879543095,8.15182779263788
"4153","TLS","Timor-Leste",4.4,0.571131879543095,8.15182779263788
"4154","TLS","Timor-Leste",4.4,0.571131879543095,8.15182779263788
"4155","TLS","Timor-Leste",4.4,0.571131879543095,8.15182779263788
"4156","TLS","Timor-Leste",4.4,0.571131879543095,8.15182779263788
"4157","TLS","Timor-Leste",4.4,0.571131879543095,8.15182779263788
"4158","TLS","Timor-Leste",4.4,0.571131879543095,8.15182779263788
"4159","TLS","Timor-Leste",4.4,0.571131879543095,8.15182779263788
"4160","TLS","Timor-Leste",4.4,0.571131879543095,8.15182779263788
"4161","TLS","Timor-Leste",4.4,0.571131879543095,8.15182779263788
"4162","TLS","Timor-Leste",4.4,0.571131879543095,8.15182779263788
"4163","TLS","Timor-Leste",4.4,0.571131879543095,8.15182779263788
"4164","TLS","Timor-Leste",4.4,0.571131879543095,8.15182779263788
"4165","TLS","Timor-Leste",4.4,0.571131879543095,8.15182779263788
"4166","TLS","Timor-Leste",4.4,0.571131879543095,8.15182779263788
"4167","TLS","Timor-Leste",4.4,0.571131879543095,8.15182779263788
"4168","TLS","Timor-Leste",4.4,0.571131879543095,8.15182779263788
"4169","TLS","Timor-Leste",4.4,0.571131879543095,8.15182779263788
"4170","TLS","Timor-Leste",4.4,0.571131879543095,8.15182779263788
"4171","TLS","Timor-Leste",4.4,0.571131879543095,8.15182779263788
"4172","TLS","Timor-Leste",4.4,0.571131879543095,8.15182779263788
"4173","TON","Tonga",-2.9,-3.65079365079365,-2.22222222222222
"4174","TON","Tonga",-2.9,-3.65079365079365,-2.22222222222222
