nrounds,max_depth,eta,gamma,colsample_bytree,min_child_weight,subsample,RMSE,Rsquared,MAE,RMSESD,RsquaredSD,MAESD
50,3,0.05,0,1,0,1,7.55272057116854,0.647791511170775,5.8336928943793,5.72566436398497,0.272297412846351,3.78884153992021
50,3,0.05,5,1,0,1,8.24352835150969,0.58561345180945,5.9873802746137,5.45214389308117,0.341201017936721,2.93553638495213
50,3,0.05,0,1,0,1,7.88740834051465,0.623715547834912,5.86061043638653,5.38574569991384,0.329902006120193,3.21328736097592
50,3,0.05,0,1,0,1,7.423109496373,0.566455278033191,5.82626422153579,3.21082512852647,0.308142488787286,2.29355171265542
50,3,0.05,5,1,0,1,7.82507985779213,0.627933745622077,6.07979890153143,5.48464568700097,0.310785695557657,3.6179351659653
50,3,0.05,0,1,0,1,7.41458598668503,0.616795665885619,5.46638907496134,4.7054996616467,0.317362455235623,2.60467276180959
50,3,0.05,5,1,0,1,7.01739275894092,0.629063349686225,5.54779804817836,2.91597384475968,0.273492265772097,2.45310378707095
50,3,0.05,0,1,0,1,7.59655857557012,0.511707439195694,5.94877502308952,4.49273223863494,0.297834316462778,3.53388547918346
50,3,0.05,0,1,0,1,8.32963804406067,0.575353243456667,6.25597146402465,5.88095660723081,0.349872808033036,3.48984164230764
50,3,0.05,5,1,0,1,7.73843747412555,0.644972951139416,5.99507476128472,5.35257139033713,0.292058529000824,3.44506865007777
50,3,0.05,1,1,0,1,6.51627019826479,0.593852700823118,5.10503477101856,3.47863954572251,0.3040202818342,2.55499733062884
50,3,0.05,1,1,0,1,8.19931219258307,0.561126630391605,6.14102844487296,5.54852605065383,0.305733654483555,3.09851390879646
50,3,0.05,1,1,0,1,7.85935668227739,0.683066677165665,6.00297742965486,5.69329342226746,0.286861574455966,3.53173714909499
50,6,0.05,5,1,0,1,7.98862766822173,0.606363501843184,6.1027517059048,5.13380614713334,0.278982440816935,3.25622904042208
50,3,0.05,1,1,0,1,6.97759909348829,0.644339233341156,5.47778856028451,2.90514969889431,0.272385088436688,2.04356983276811
50,6,0.05,0,1,0,1,7.93766099472057,0.626101846185469,6.06599966856009,6.13531955862662,0.342858166125695,3.90775865164036
50,3,0.05,0,1,0,1,7.96151068447102,0.643432341851924,6.02553230071068,5.51835168514027,0.303706428723524,3.40960897948315
50,3,0.05,0,1,0,1,8.03518064678928,0.58823624788931,6.17129527393977,5.90264332655372,0.320215508437367,4.08589297727387
50,3,0.05,0,1,0,1,7.50993306070378,0.604852663247118,5.81822170292007,3.67032041611077,0.306893467099531,2.42526201138103
50,6,0.05,1,1,0,1,8.11610419043634,0.651205652409163,6.17458341423671,6.42972727839538,0.289171899994534,4.3839550597086
50,3,0.05,1,1,0,1,7.67989341739608,0.664863009397411,5.88517171616025,5.91083346576728,0.255788944937244,4.07811388219345
50,3,0.05,1,1,0,1,7.75432164840291,0.61400893717614,5.7428520995246,4.56692250740914,0.267815907889376,2.16550473383344
50,3,0.05,5,1,0,1,7.54887178971252,0.62424253989496,5.68628694634967,5.33679156757814,0.289269383085485,2.81757135925276
