identifier,identifier_CountryYear,iso1,iso2,iso3,iso4,iso5,iso6,iso7,iso8,iso9,iso10,iso11,iso12,iso13,iso14,iso15,iso16,iso17,iso18,iso19,iso20,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,country,Country Code,year.x,month.x,type,expected.mean,acm.mean,excess.mean,cumul.excess.mean,cumul.excess.low,cumul.excess.high,p_value_mort,date,iso_code,location,stringency_index,weekly_hosp_admissions,weekly_icu_admissions,new_cases_smoothed_per_million,new_people_vaccinated_smoothed_per_hundred,new_cases_per_million,tests_per_case,people_fully_vaccinated_per_hundred,new_tests_per_thousand,weekly_icu_admissions_per_million,weekly_hosp_admissions_per_million,year.y,month.y,continent,population,median_age,aged_65_older,aged_70_older,human_development_index,gdp_per_capita,extreme_poverty,female_smokers,male_smokers,handwashing_facilities,life_expectancy,population_density,diabetes_prevalence,cardiovasc_death_rate,diffTemp
SVK_2020_5,SVK_2020,1.52459364758375,0.706201329934574,-0.125906908058736,-0.127940392218336,0.184909623249883,0.205539616584832,0.390347874556434,-0.364773556343611,-0.575367645994088,0.199833136951757,-0.232967342150796,-0.107095147591441,-0.532831096913526,-0.137569111154451,-0.218409652633733,-0.312801309784917,-0.410793487357129,-0.090044139582597,-0.228379008481942,-0.0692100812561815,16.8157854911089,-2.38730643919022,2.61740981123755,-1.39237680128889,2.84863855299603,-3.35590892127168,0.426896205125753,-0.272340186178976,-1.904517300015,3.41855968029239,0.598167289703968,1.7333454422366,2.03871809800666,-3.69791492551587,-1.99791652978628,0.152197655227877,-2.49088076193466,-2.04797329364219,0.2187928924969,1.22963373751366,Slovakia,SVK,2020,5,Reported,4242,4265,23,-126,-607,368,0.542197076850542,2020-05-01,SVK,Slovakia,71.8967741935484,0.00000230355340832876,0.000000177196416025289,0.781451612903226,0,22.149,25000,0,15.016,0.183,2.381,2020,5,Europe,5643455,41.2,15.07,9.167,0.86,30155.152,0.7,23.1,37.7,,77.54,113.128,7.29,287.959,-1.60243697478992
SVK_2020_6,SVK_2020,1.52459364758375,0.706201329934574,-0.125906908058736,-0.127940392218336,0.184909623249883,0.205539616584832,0.390347874556434,-0.364773556343611,-0.575367645994088,0.199833136951757,-0.232967342150796,-0.107095147591441,-0.532831096913526,-0.137569111154451,-0.218409652633733,-0.312801309784917,-0.410793487357129,-0.090044139582597,-0.228379008481942,-0.0692100812561815,16.8157854911089,-2.38730643919022,2.61740981123755,-1.39237680128889,2.84863855299603,-3.35590892127168,0.426896205125753,-0.272340186178976,-1.904517300015,3.41855968029239,0.598167289703968,1.7333454422366,2.03871809800666,-3.69791492551587,-1.99791652978628,0.152197655227877,-2.49088076193466,-2.04797329364219,0.2187928924969,1.22963373751366,Slovakia,SVK,2020,6,Reported,4156,4063,-93,-219,-719,308,-2.23772858517806,2020-06-01,SVK,Slovakia,44.5693333333333,0.00000141757132820232,0.000000354392832050579,0.769533333333333,0,25.871,7546.1,0,7.149,0.366,1.465,2020,6,Europe,5643455,41.2,15.07,9.167,0.86,30155.152,0.7,23.1,37.7,,77.54,113.128,7.29,287.959,1.10680672268908
SVK_2020_7,SVK_2020,1.52459364758375,0.706201329934574,-0.125906908058736,-0.127940392218336,0.184909623249883,0.205539616584832,0.390347874556434,-0.364773556343611,-0.575367645994088,0.199833136951757,-0.232967342150796,-0.107095147591441,-0.532831096913526,-0.137569111154451,-0.218409652633733,-0.312801309784917,-0.410793487357129,-0.090044139582597,-0.228379008481942,-0.0692100812561815,16.8157854911089,-2.38730643919022,2.61740981123755,-1.39237680128889,2.84863855299603,-3.35590892127168,0.426896205125753,-0.272340186178976,-1.904517300015,3.41855968029239,0.598167289703968,1.7333454422366,2.03871809800666,-3.69791492551587,-1.99791652978628,0.152197655227877,-2.49088076193466,-2.04797329364219,0.2187928924969,1.22963373751366,Slovakia,SVK,2020,7,Reported,4198,4283,85,-134,-691,435,2.02477370176274,2020-07-01,SVK,Slovakia,38.89,0.00000496149964870811,0.000000177196416025289,3.24493548387097,0,110.749,2811.9,0,9.66,0.183,5.129,2020,7,Europe,5643455,41.2,15.07,9.167,0.86,30155.152,0.7,23.1,37.7,,77.54,113.128,7.29,287.959,0.587899159663863
SVK_2020_8,SVK_2020,1.52459364758375,0.706201329934574,-0.125906908058736,-0.127940392218336,0.184909623249883,0.205539616584832,0.390347874556434,-0.364773556343611,-0.575367645994088,0.199833136951757,-0.232967342150796,-0.107095147591441,-0.532831096913526,-0.137569111154451,-0.218409652633733,-0.312801309784917,-0.410793487357129,-0.090044139582597,-0.228379008481942,-0.0692100812561815,16.8157854911089,-2.38730643919022,2.61740981123755,-1.39237680128889,2.84863855299603,-3.35590892127168,0.426896205125753,-0.272340186178976,-1.904517300015,3.41855968029239,0.598167289703968,1.7333454422366,2.03871809800666,-3.69791492551587,-1.99791652978628,0.152197655227877,-2.49088076193466,-2.04797329364219,0.2187928924969,1.22963373751366,Slovakia,SVK,2020,8,Reported,4222,4429,207,73,-509,685,4.90288962576978,2020-08-01,SVK,Slovakia,36.0203225806452,0.0000219723555871359,0.0000033667319044805,8.54945161290323,0,287.944,1569,0,13.457,3.48,21.796,2020,8,Europe,5643455,41.2,15.07,9.167,0.86,30155.152,0.7,23.1,37.7,,77.54,113.128,7.29,287.959,2.49655462184874
SVK_2020_9,SVK_2020,1.52459364758375,0.706201329934574,-0.125906908058736,-0.127940392218336,0.184909623249883,0.205539616584832,0.390347874556434,-0.364773556343611,-0.575367645994088,0.199833136951757,-0.232967342150796,-0.107095147591441,-0.532831096913526,-0.137569111154451,-0.218409652633733,-0.312801309784917,-0.410793487357129,-0.090044139582597,-0.228379008481942,-0.0692100812561815,16.8157854911089,-2.38730643919022,2.61740981123755,-1.39237680128889,2.84863855299603,-3.35590892127168,0.426896205125753,-0.272340186178976,-1.904517300015,3.41855968029239,0.598167289703968,1.7333454422366,2.03871809800666,-3.69791492551587,-1.99791652978628,0.152197655227877,-2.49088076193466,-2.04797329364219,0.2187928924969,1.22963373751366,Slovakia,SVK,2020,9,Reported,4232,4380,148,221,-415,873,3.49716446124764,2020-09-01,SVK,Slovakia,30.816,0.0000655626739293571,0.00000584748172883455,30.7444,0,1102.869,761.8,0,23.743,6.043,65.387,2020,9,Europe,5643455,41.2,15.07,9.167,0.86,30155.152,0.7,23.1,37.7,,77.54,113.128,7.29,287.959,1.78714285714286
SVK_2021_1,SVK_2021,1.61993519946201,1.02507580213,-0.0387313228608818,-0.0792935857929621,-0.0570487684480643,0.14688141873551,0.0167120527953827,-0.184849936892241,-0.253310037770971,0.136011142299342,-0.322323316089742,-0.0349112995385536,-0.0577472754906394,-0.142402100230967,-0.285999470073299,0.119690851642432,-0.163479372065183,-0.0271380809297854,-0.336423084567507,-0.0433911003095641,16.7698194664623,-1.5430357446697,2.4510005093513,-1.36930427255509,2.8608639183494,-5.13756656547997,1.62730954800389,0.0641057865630424,-2.56815121501717,2.46923799133303,0.0210482021336402,1.48363809146715,-0.938809714310759,-1.41818492799413,-4.00570991067622,-0.0476588527609727,-1.06056227740662,-1.05803403640781,-0.851795723861479,0.121789684450846,Slovakia,SVK,2021,1,Reported,4843,9057,4214,9676,8854,10473,87.0121825314888,2021-01-01,SVK,Slovakia,70.3409677419355,0.00101285471400055,0.0000965720467337828,964.975,2.64,28601.804,781.8,0.79,830.67,96.524,1012.862,2021,1,Europe,5643455,41.2,15.07,9.167,0.86,30155.152,0.7,23.1,37.7,,77.54,113.128,7.29,287.959,2.24579831932773
SVK_2021_10,SVK_2021,1.61993519946201,1.02507580213,-0.0387313228608818,-0.0792935857929621,-0.0570487684480643,0.14688141873551,0.0167120527953827,-0.184849936892241,-0.253310037770971,0.136011142299342,-0.322323316089742,-0.0349112995385536,-0.0577472754906394,-0.142402100230967,-0.285999470073299,0.119690851642432,-0.163479372065183,-0.0271380809297854,-0.336423084567507,-0.0433911003095641,16.7698194664623,-1.5430357446697,2.4510005093513,-1.36930427255509,2.8608639183494,-5.13756656547997,1.62730954800389,0.0641057865630424,-2.56815121501717,2.46923799133303,0.0210482021336402,1.48363809146715,-0.938809714310759,-1.41818492799413,-4.00570991067622,-0.0476588527609727,-1.06056227740662,-1.05803403640781,-0.851795723861479,0.121789684450846,Slovakia,SVK,2021,10,Reported,4343,5694,1351,19130,18049,20125,31.1075293575869,2021-10-01,SVK,Slovakia,30.0967741935484,0.00049916230394324,0.0000535133176396374,464.703709677419,0.986,16754.629,482.2,214.53,212.459,53.665,499.104,2021,10,Europe,5643455,41.2,15.07,9.167,0.86,30155.152,0.7,23.1,37.7,,77.54,113.128,7.29,287.959,-0.0143697478991598
SVK_2021_11,SVK_2021,1.61993519946201,1.02507580213,-0.0387313228608818,-0.0792935857929621,-0.0570487684480643,0.14688141873551,0.0167120527953827,-0.184849936892241,-0.253310037770971,0.136011142299342,-0.322323316089742,-0.0349112995385536,-0.0577472754906394,-0.142402100230967,-0.285999470073299,0.119690851642432,-0.163479372065183,-0.0271380809297854,-0.336423084567507,-0.0433911003095641,16.7698194664623,-1.5430357446697,2.4510005093513,-1.36930427255509,2.8608639183494,-5.13756656547997,1.62730954800389,0.0641057865630424,-2.56815121501717,2.46923799133303,0.0210482021336402,1.48363809146715,-0.938809714310759,-1.41818492799413,-4.00570991067622,-0.0476588527609727,-1.06056227740662,-1.05803403640781,-0.851795723861479,0.121789684450846,Slovakia,SVK,2021,11,Reported,4543,7513,2970,22100,20984,23176,65.3753026634383,2021-11-01,SVK,Slovakia,36.8656666666667,0.000934888290949427,0.0000971036359818586,1529.4616,0.243,48068.781,192,0,331.593,97.073,934.837,2021,11,Europe,5643455,41.2,15.07,9.167,0.86,30155.152,0.7,23.1,37.7,,77.54,113.128,7.29,287.959,1.10193277310924
SVK_2021_12,SVK_2021,1.61993519946201,1.02507580213,-0.0387313228608818,-0.0792935857929621,-0.0570487684480643,0.14688141873551,0.0167120527953827,-0.184849936892241,-0.253310037770971,0.136011142299342,-0.322323316089742,-0.0349112995385536,-0.0577472754906394,-0.142402100230967,-0.285999470073299,0.119690851642432,-0.163479372065183,-0.0271380809297854,-0.336423084567507,-0.0433911003095641,16.7698194664623,-1.5430357446697,2.4510005093513,-1.36930427255509,2.8608639183494,-5.13756656547997,1.62730954800389,0.0641057865630424,-2.56815121501717,2.46923799133303,0.0210482021336402,1.48363809146715,-0.938809714310759,-1.41818492799413,-4.00570991067622,-0.0476588527609727,-1.06056227740662,-1.05803403640781,-0.851795723861479,0.121789684450846,Slovakia,SVK,2021,12,Reported,4839,7059,2220,24320,23175,25433,45.8772473651581,2021-12-01,SVK,Slovakia,57.6403225806452,0.00074670569713057,0.0000756628696427986,1247.75748387097,0.155,35595.574,252.7,0,272.174,75.645,746.55,2021,12,Europe,5643455,41.2,15.07,9.167,0.86,30155.152,0.7,23.1,37.7,,77.54,113.128,7.29,287.959,0.79218487394958
SVK_2021_2,SVK_2021,1.61993519946201,1.02507580213,-0.0387313228608818,-0.0792935857929621,-0.0570487684480643,0.14688141873551,0.0167120527953827,-0.184849936892241,-0.253310037770971,0.136011142299342,-0.322323316089742,-0.0349112995385536,-0.0577472754906394,-0.142402100230967,-0.285999470073299,0.119690851642432,-0.163479372065183,-0.0271380809297854,-0.336423084567507,-0.0433911003095641,16.7698194664623,-1.5430357446697,2.4510005093513,-1.36930427255509,2.8608639183494,-5.13756656547997,1.62730954800389,0.0641057865630424,-2.56815121501717,2.46923799133303,0.0210482021336402,1.48363809146715,-0.938809714310759,-1.41818492799413,-4.00570991067622,-0.0476588527609727,-1.06056227740662,-1.05803403640781,-0.851795723861479,0.121789684450846,Slovakia,SVK,2021,2,Reported,4927,8022,3095,12771,11890,13610,62.817130099452,2021-02-01,SVK,Slovakia,71.7625,0.000848062047097035,0.0000724733341543434,948.592107142857,3.144,27049.92,1445.1,8.42,1513.258,72.53,848.203,2021,2,Europe,5643455,41.2,15.07,9.167,0.86,30155.152,0.7,23.1,37.7,,77.54,113.128,7.29,287.959,1.28361344537815
SVK_2021_3,SVK_2021,1.61993519946201,1.02507580213,-0.0387313228608818,-0.0792935857929621,-0.0570487684480643,0.14688141873551,0.0167120527953827,-0.184849936892241,-0.253310037770971,0.136011142299342,-0.322323316089742,-0.0349112995385536,-0.0577472754906394,-0.142402100230967,-0.285999470073299,0.119690851642432,-0.163479372065183,-0.0271380809297854,-0.336423084567507,-0.0433911003095641,16.7698194664623,-1.5430357446697,2.4510005093513,-1.36930427255509,2.8608639183494,-5.13756656547997,1.62730954800389,0.0641057865630424,-2.56815121501717,2.46923799133303,0.0210482021336402,1.48363809146715,-0.938809714310759,-1.41818492799413,-4.00570991067622,-0.0476588527609727,-1.06056227740662,-1.05803403640781,-0.851795723861479,0.121789684450846,Slovakia,SVK,2021,3,Reported,4773,7480,2707,15478,14623,16354,56.714854389273,2021-03-01,SVK,Slovakia,72.3722580645161,0.000728454466279965,0.000071587352074217,740.12564516129,7.278,21122.697,2589.4,17.51,1789.721,71.614,728.418,2021,3,Europe,5643455,41.2,15.07,9.167,0.86,30155.152,0.7,23.1,37.7,,77.54,113.128,7.29,287.959,0.283949579831932
SVK_2021_4,SVK_2021,1.61993519946201,1.02507580213,-0.0387313228608818,-0.0792935857929621,-0.0570487684480643,0.14688141873551,0.0167120527953827,-0.184849936892241,-0.253310037770971,0.136011142299342,-0.322323316089742,-0.0349112995385536,-0.0577472754906394,-0.142402100230967,-0.285999470073299,0.119690851642432,-0.163479372065183,-0.0271380809297854,-0.336423084567507,-0.0433911003095641,16.7698194664623,-1.5430357446697,2.4510005093513,-1.36930427255509,2.8608639183494,-5.13756656547997,1.62730954800389,0.0641057865630424,-2.56815121501717,2.46923799133303,0.0210482021336402,1.48363809146715,-0.938809714310759,-1.41818492799413,-4.00570991067622,-0.0476588527609727,-1.06056227740662,-1.05803403640781,-0.851795723861479,0.121789684450846,Slovakia,SVK,2021,4,Reported,4469,5525,1056,16533,15605,17385,23.6294473036474,2021-04-01,SVK,Slovakia,71.0463333333333,0.000383630240694752,0.0000388060151095384,301.474266666667,7.047,8186.829,5873,28.19,1626.509,38.83,383.532,2021,4,Europe,5643455,41.2,15.07,9.167,0.86,30155.152,0.7,23.1,37.7,,77.54,113.128,7.29,287.959,-1.91588235294118
SVK_2021_5,SVK_2021,1.61993519946201,1.02507580213,-0.0387313228608818,-0.0792935857929621,-0.0570487684480643,0.14688141873551,0.0167120527953827,-0.184849936892241,-0.253310037770971,0.136011142299342,-0.322323316089742,-0.0349112995385536,-0.0577472754906394,-0.142402100230967,-0.285999470073299,0.119690851642432,-0.163479372065183,-0.0271380809297854,-0.336423084567507,-0.0433911003095641,16.7698194664623,-1.5430357446697,2.4510005093513,-1.36930427255509,2.8608639183494,-5.13756656547997,1.62730954800389,0.0641057865630424,-2.56815121501717,2.46923799133303,0.0210482021336402,1.48363809146715,-0.938809714310759,-1.41818492799413,-4.00570991067622,-0.0476588527609727,-1.06056227740662,-1.05803403640781,-0.851795723861479,0.121789684450846,Slovakia,SVK,2021,5,Reported,4257,4668,411,16944,15972,17830,9.65468639887245,2021-05-01,SVK,Slovakia,58.39,0.000180031558681694,0.0000191372129307313,110.930774193548,11.155,2999.936,7250,68.7,714.022,19.232,180.044,2021,5,Europe,5643455,41.2,15.07,9.167,0.86,30155.152,0.7,23.1,37.7,,77.54,113.128,7.29,287.959,-1.38243697478991
